Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Número de Plazas;;LONGITUD;LATITUD;DIRECCION
179;443221,32;4472140,37;30/09/2019;13  PUENTE DE VALLECAS;13-02 SAN DIEGO;ALBUFERA, AVENIDA, DE LA;6;BiciMAD;24;;-3.66906715654201;40.3979340378981; AVENIDA DE LA ALBUFERA, 6
180;442636,16;4471722,03;11/09/2019;02  ARGANZUELA;02-07 ATOCHA;RETAMA, CALLE, DE LA;5;BiciMAD;24;;-3.67592440950663;40.3941252964465; CALLE DE LA RETAMA, 5
181;442595,87;4474391,99;18/06/2019;03  RETIRO;03-04 IBIZA;IBIZA, CALLE, DE;18;BiciMAD;27;;-3.67663994453037;40.4181749604658; CALLE DE IBIZA, 18
182;443541,21;4474444,72;27/05/2019;03  RETIRO;03-03 ESTRELLA;ALCALDE SAINZ DE BARANDA, CALLE, DEL;90;BiciMAD;24;;-3.66550233391818;40.418714653933; CALLE DEL ALCALDE SAINZ DE BARANDA, 90
183;443212,07;4475215,51;01/08/2019;04  SALAMANCA;04-02 GOYA;HERMOSILLA, CALLE, DE;135;BiciMAD;24;;-3.66945062094213;40.4256359410288; CALLE DE HERMOSILLA, 135
184;443563,66;4475253,54;01/08/2019;04  SALAMANCA;04-03 FUENTE DEL BERRO;MARQUES DE ZAFRA, PASEO, DEL;24;BiciMAD;24;;-3.66530950600264;40.4260024599175; PASEO DEL MARQUES DE ZAFRA, 24
185;443883,24;4475147,45;01/08/2019;04  SALAMANCA;04-03 FUENTE DEL BERRO;MARQUES DE ZAFRA, GLORIETA, DEL;4;BiciMAD;24;;-3.66153295744438;40.4250683619825; GLORIETA DEL MARQUES DE ZAFRA, 4
186;442466,16;4475602,3;30/09/2019;04  SALAMANCA;04-05 LISTA;GENERAL PARDIÑAS, CALLE, DEL;56;BiciMAD;24;;-3.67827828423443;40.4290690913687; CALLE DEL GENERAL PARDIÑAS, 56
187;443691,7;4475711,36;09/07/2019;04  SALAMANCA;04-03 FUENTE DEL BERRO;ALEJANDRO GONZALEZ, CALLE, DE;1;BiciMAD;24;;-3.66384073130543;40.4301354203598; CALLE DE ALEJANDRO GONZALEZ, 1
188;444111,11;4475822,61;12/09/2019;15  CIUDAD LINEAL;15-01 VENTAS;DAROCA, AVENIDA, DE;2;BiciMAD;27;;-3.65890623456398;40.4311659047464; AVENIDA DE DAROCA, 2
189;444401,74;4476259,67;21/10/2019;15  CIUDAD LINEAL;15-04 CONCEPCIÓN;VIRGEN DE LA ALEGRIA, CALLE, DE LA;18;BiciMAD;24;;-3.65551827726975;40.4351226521444; CALLE DE LA VIRGEN DE LA ALEGRIA, 18
190;442030,45;4476194,66;01/08/2019;04  SALAMANCA;04-06 CASTELLANA;VELAZQUEZ, CALLE, DE;91;BiciMAD;24;;-3.6834686388527;40.4343751094586; CALLE DE VELAZQUEZ, 91
191;442830,66;4476215,36;23/08/2019;04  SALAMANCA;04-04 GUINDALERA;ALONSO HEREDIA, CALLE, DE;S/N;BiciMAD;18;;-3.67403654317288;40.4346169747582; CALLE DE ALONSO HEREDIA, S/N
192;443049,28;4475907,11;18/06/2019;04  SALAMANCA;04-04 GUINDALERA;TOREROS, AVENIDA, DE LOS;3;BiciMAD;27;;-3.67143152187491;40.4318551014098; AVENIDA DE LOS TOREROS, 3
193;443540,74;4475977,26;18/06/2019;04  SALAMANCA;04-04 GUINDALERA;TOREROS, AVENIDA, DE LOS;47;BiciMAD;24;;-3.66564396310347;40.4325205533754; AVENIDA DE LOS TOREROS, 47
194;442564,99;4476503,98;30/09/2019;04  SALAMANCA;04-04 GUINDALERA;FRANCISCO SILVELA, CALLE, DE;86;BiciMAD;24;;-3.6771947177994;40.4371987015817; CALLE DE FRANCISCO SILVELA, 86
195;442711,2;4476730,39;30/09/2019;05  CHAMARTÍN;05-02 PROSPERIDAD;PADRE INDALECIO HERNANDEZ, CALLE, DEL;1;BiciMAD;24;;-3.67549133764951;40.4392483990274; CALLE DEL PADRE INDALECIO HERNANDEZ, 1
196;442749,2;4477268,2;21/10/2019;05  CHAMARTÍN;05-03 CIUDAD JARDÍN;SUERO DE QUIÑONES, CALLE, DE;2;BiciMAD;24;;-3.67509177574208;40.4440958702634; CALLE DE SUERO DE QUIÑONES, 2
197;442469,66;4478099,83;01/08/2019;05  CHAMARTÍN;05-01 EL VISO;CONCHA ESPINA, AVENIDA, DE;34;BiciMAD;24;;-3.67846317896436;40.4515682889892; AVENIDA DE CONCHA ESPINA, 34
198;441342,11;4476060,39;14/10/2019;07  CHAMBERÍ;07-04 ALMAGRO;RUBEN DARIO, GLORIETA, DE;2;BiciMAD;24;;-3.69157130820518;40.433117280723; GLORIETA DE RUBEN DARIO, 2
199;439369,52;4476210,1;25/06/2019;07  CHAMBERÍ;07-01 GAZTAMBIDE;FERNANDO EL CATOLICO, CALLE, DE;61;BiciMAD;27;;-3.71484056202738;40.4343244782558; CALLE DE FERNANDO EL CATOLICO, 61
200;440231,49;4476129,61;06/09/2019;07  CHAMBERÍ;07-02 ARAPILES;QUEVEDO, GLORIETA, DE;4;BiciMAD;24;;-3.70467099810926;40.4336617785123; GLORIETA DE QUEVEDO, 4
201;440308,49;4476691,87;21/10/2019;07  CHAMBERÍ;07-05 RÍOS ROSAS;JOSE ABASCAL, CALLE, DE;frente al 2;BiciMAD;24;;-3.70381604764219;40.4387323940721; CALLE DE JOSE ABASCAL, frente al 2
202;439947,59;4476965,21;11/10/2019;07  CHAMBERÍ;07-06 VALLEHERMOSO;SANTANDER, CALLE, DE;S/N;BiciMAD;24;;-3.70809690838274;40.4411687734016; CALLE DE SANTANDER, S/N
203;439410,6;4477034,81;27/05/2019;07  CHAMBERÍ;07-06 VALLEHERMOSO;GENERAL AMPUDIA, CALLE, DEL;2;BiciMAD;24;;-3.71443489977391;40.4417568035991; CALLE DEL GENERAL AMPUDIA, 2
204;440286,36;4477683,16;01/08/2019;06  TETUÁN;06-01 BELLAS VISTAS;DOCTOR SANTERO, CALLE, DEL;2;BiciMAD;24;;-3.70417014356222;40.4476607709578; CALLE DEL DOCTOR SANTERO, 2
205;440361,85;4478331,04;18/06/2019;06  TETUÁN;06-01 BELLAS VISTAS;NAVARRA, CALLE, DE;1;BiciMAD;24;;-3.70334084201613;40.4535025645548; CALLE DE NAVARRA, 1
206;440732,11;4479138,12;12/09/2019;06  TETUÁN;06-06 BERRUGUETE;MARQUES DE VIANA, CALLE, DEL;5;BiciMAD;24;;-3.69904985313469;40.4607995629631; CALLE DEL MARQUES DE VIANA, 5
207;440874,74;4479385,27;23/07/2019;06  TETUÁN;06-05 VALDEACEDERAS;AZUCENAS, CALLE, DE LAS;1;BiciMAD;18;;-3.69739071158201;40.4630361532718; CALLE DE LAS AZUCENAS, 1
208;441615,82;4479765,37;30/09/2019;05  CHAMARTÍN;05-06 CASTILLA;CASTELLANA, PASEO, DE LA;S/N;BiciMAD;24;;-3.68868514443985;40.4665126608396; PASEO DE LA CASTELLANA, S/N
209;441606,43;4479673,82;30/09/2019;05  CHAMARTÍN;05-05 NUEVA ESPAÑA;CASTILLA, PLAZA, DE;9;BiciMAD;24;;-3.68878747371191;40.4656872797875; PLAZA DE CASTILLA, 9
210;440392,24;4474584,46;16/07/2019;01  CENTRO;01-06 SOL;TRES CRUCES, CALLE, DE LAS;9;BiciMAD;27;;-3.70263102197341;40.4197538962774; CALLE DE LAS TRES CRUCES, 9
211;440400,99;4474680,19;20/08/2019;01  CENTRO;01-05 UNIVERSIDAD;DESENGAÑO, CALLE, DEL;3;BiciMAD;24;;-3.70253685912208;40.4206169036699; CALLE DEL DESENGAÑO, 3
